축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
2018 시청자미디어축제,미정,2018-11-30,2018-11-30,"시청자미디어대상 공모전 시상식, 시청자미디어컨퍼런스, 미디어 체험부스, 전국 시청자제작단 워크숍 등",시청자미디어재단,방송통신위원회,미정,02-6900-8326,http://kcmf.or.kr,,서울특별시 영등포구 국회대로70길 23,,37.52887668,126.9210104,2018-06-25,B553505,시청자미디어재단
부산 2018 장애인미디어축제,"부산시청자미디어센터, 소향씨어터 등",2018-10-30,2018-10-30,"배리어프리영화 상영회, 시·청각·지체장애 체험, 배리어프리 콘서트 등 장애인과 비장애인이 함께하는 미디어문화축제를 개최하여, 미디어의 사회적 격차를 해소하고 장애 인식을 개선","시청자미디어재단 부산시청자미디어센터, 동국대학교, 동서대학교",방송통신위원회,미정,051-749-9557,http://kcmf.or.kr/comc/busan/,,부산광역시 해운대구 센텀중앙로 42,,35.17259614,129.130314,2018-06-25,B553505,시청자미디어재단
부산 2018 마을미디어축제,부산시청자미디어센터,2018-11-30,2018-11-30,"시청자미디어재단 부산시청자미디어센터, 부산민주언론시민연합",방송통신위원회,미정,미정,051-749-9522,http://kcmf.or.kr/comc/busan/,,부산광역시 해운대구 센텀중앙로 42,,35.17259614,129.130314,2018-06-25,B553505,시청자미디어재단
전남 청소년 미디어캠프,영광 홍농중학교,2018-07-23,2018-07-24,"청소년들을 대상으로 미디어를 올바르게 이해하고 수용하며, 잠재된 끼와 재능을 한껏 발산할 수 있도록 프로그램 운영(미디어리터러시 및 영상 제작 교육(1박 2일간))","영광 홍농중학교, 시청자미디어재단 광주시청자미디어센터","영광 홍농중학교, 시청자미디어재단 광주시청자미디어센터",한빛원자력본부,062-650-0330,http://kcmf.or.kr/comc/gwangju/,,광주광역시 서구 회재로 905,,35.12381317,126.8623375,2018-06-25,B553505,시청자미디어재단
전남 섬마을미디어페스티벌 ''미디어로 어깨동무 시즌6'',전남 신안군 비금도,2018-07-11,2018-07-16,전국 권역별 마을미디어 공동체 활동사례 공유 및 관련 이슈 토론 등을 통해 마을미디어 활동가의 역량 강화 및 네트워크 구축 지원,시청자미디어재단 광주시청자미디어센터,시청자미디어재단 광주시청자미디어센터,미정,062-650-0330,http://kcmf.or.kr/comc/gwangju/,,광주광역시 서구 회재로 905,,35.12381317,126.8623375,2018-06-25,B553505,시청자미디어재단
